y,age,educ,female,exp,yl1,yl2,yl3,yp1,yp2,owage2,owage1
3.115186,52,16,0,30,3.267427,3.263485,3.163162,3.156054,3.182262,2.622755611,2.890709345
3.309966,44,12,0,26,3.561129,3.508661,3.401891,3.302458,3.278372,2.072068779,2.694301542
1.281663,42,6,0,30,0.8921456,0.924017,1.085871,1.292315,1.283141,1.273242259,1.048937567
2.735238,46,16,0,24,2.992362,3.04783,3.040039,2.717621,2.722967,1.688067281,1.692539143
1.265017,40,6,1,28,1.178945,1.179297,1.200679,1.233694,1.316883,1.562523333,1.409568052
1.448573,46,12,1,28,1.331831,1.123538,1.329868,1.453577,1.428877,1.362664851,1.164329447
2.19172,44,9,0,29,2.27658,2.260758,2.284797,2.323667,2.341401,1.616551406,1.410283183
1.682662,40,6,0,28,1.750243,1.701788,1.571881,1.664374,1.647634,1.252650216,1.402716052
1.244431,41,9,1,26,1.419886,1.311659,1.478944,1.218831,1.286059,1.471245952,1.547718064
1.417137,44,12,1,26,1.819248,1.859333,1.854874,1.365981,1.354394,1.326727715,1.95104463
1.539682,42,9,0,27,1.394366,1.386568,1.242311,1.796764,1.772064,1.517704598,1.335142434
1.396581,40,9,0,25,1.475753,1.476189,1.50598,1.365981,1.45048,1.437974163,1.494618565
2.179561,48,12,0,30,1.818378,1.830605,1.867753,2.19506,2.24177,2.120833801,1.9145722
2.071141,44,12,1,26,2.117722,2.108597,2.049861,2.073746,2.077182,2.388180603,2.340551097
1.204668,40,6,0,28,1.330766,1.361575,1.360836,1.179068,1.187068,1.434244558,1.486835564
1.209905,40,9,0,25,1.738128,1.578189,1.505117,1.257784,1.372497,1.519410599,1.577929111
1.513309,45,9,0,30,2.118122,2.136311,2.130502,1.710292,1.718292,1.618238562,1.295146212
2.399166,45,9,0,30,2.359315,2.384571,2.407271,2.300316,2.385806,2.167564048,2.10143938
1.229368,41,6,1,29,1.233319,1.131894,1.052783,1.227337,1.065245,1.501778672,1.557619274
2.448019,42,12,0,24,2.587244,2.560796,2.561363,2.459233,2.496674,1.554295478,1.861968942
1.61867,41,6,0,29,1.508637,1.343463,1.366163,1.744462,1.661624,1.4723963,1.256762507
3.100994,46,12,0,28,2.615221,2.603643,2.591791,3.294877,3.437524,2.310199329,2.540734863
3.573548,44,12,0,26,3.192831,3.062905,3.069322,3.498734,3.435712,2.813187815,2.570098153
2.429207,41,6,0,29,3.126942,2.22966,2.194266,2.312577,2.2962,1.354331154,1.266702916
2.127468,43,9,0,28,2.108026,2.0288,2.0613,2.150346,2.121311,1.719538822,1.713914687
3.31274,49,16,0,27,3.471542,3.4676,3.343558,3.392313,3.423186,2.621520898,2.889896543
2.610906,44,12,1,26,2.667312,2.658487,2.33934,2.558793,2.508494,2.555940606,2.220870326
1.649511,44,12,1,26,1.413602,1.578157,1.500517,1.668502,1.70583,1.563433954,1.787188113
3.002758,42,9,0,27,3.578611,3.023308,2.137041,2.986383,3.018189,2.484696667,2.444502786
1.803288,43,9,0,28,1.665903,1.746701,1.787192,1.778588,1.774245,1.89574781,1.431492919
1.865356,42,12,0,24,1.867113,1.860014,1.854999,2.501543,2.410182,1.849801023,1.722481089
2.973533,50,16,0,28,3.316202,3.325478,3.338862,2.949436,2.956625,1.940501039,1.600812032
1.917894,44,12,0,26,2.047261,2.095226,2.070853,1.892294,1.970708,1.693728793,1.956776668
3.065289,50,16,0,28,2.832047,2.828343,2.844315,3.048877,3.05453,2.10832056,1.91890346
1.257899,43,9,1,28,1.703463,1.772788,1.736513,1.255441,1.417591,1.454467496,1.731593053
2.946935,43,9,0,28,2.780079,2.780206,2.775463,2.916763,3.028221,1.547601888,1.470156652
3.73465,46,16,0,24,3.909276,3.988747,4.026537,3.798662,3.964059,2.810792682,2.483253657
3.178096,47,12,0,29,3.978833,3.082831,2.935366,3.002478,3.13874,2.639478269,2.470596277
2.880614,42,12,0,24,2.456572,2.387653,2.383603,2.849784,2.825084,1.903192409,1.526655852
1.940864,44,9,0,29,1.942922,1.965622,2.045353,1.916164,1.894021,1.34759258,1.149788205
1.06741,42,12,1,24,1.858526,1.830173,1.833599,1.19581,1.503117,1.65559493,1.628604809
2.371727,47,12,1,29,1.933652,1.950441,1.997778,2.510805,2.237495,2.525182727,2.159724143
1.273605,44,9,1,29,1.069685,1.073072,1.017654,1.291802,1.444114,1.15993341,0.899729113
